hotel_name,n_comment,rank_in_country,url
泗水喜來登大酒店,857 則評論,"超值：第 66，共 1,013 名 - 印尼",https://www.tripadvisor.com.tw/Hotel_Review-g297715-d301785-Reviews-Sheraton_Surabaya_Hotel_Towers-Surabaya_East_Java_Java.html
棉蘭阿雅度塔酒店,769 則評論,"超值：第 67，共 1,013 名 - 印尼",https://www.tripadvisor.com.tw/Hotel_Review-g297725-d1077917-Reviews-Aryaduta_Medan-Medan_North_Sumatra_Sumatra.html
Vasa Hotel Surabaya,108 則評論,"超值：第 68，共 1,013 名 - 印尼",https://www.tripadvisor.com.tw/Hotel_Review-g297715-d11832040-Reviews-Vasa_Hotel_Surabaya-Surabaya_East_Java_Java.html
椰子套房酒店,727 則評論,"超值：第 69，共 1,013 名 - 印尼",https://www.tripadvisor.com.tw/Hotel_Review-g608486-d1204264-Reviews-Kokonut_Suites-Kerobokan_North_Kuta_Bali.html
爪哇帕拉貢酒店,791 則評論,"超值：第 70，共 1,013 名 - 印尼",https://www.tripadvisor.com.tw/Hotel_Review-g297715-d1207659-Reviews-Java_Paragon_Hotel_Residences-Surabaya_East_Java_Java.html
皮恩格豪華酒店,568 則評論,"超值：第 71，共 1,013 名 - 印尼",https://www.tripadvisor.com.tw/Hotel_Review-g297704-d300417-Reviews-Prama_Grand_Preanger-Bandung_West_Java_Java.html
薩努爾天堂廣場酒店,906 則評論,"超值：第 72，共 1,013 名 - 印尼",https://www.tripadvisor.com.tw/Hotel_Review-g297700-d306831-Reviews-Prime_Plaza_Hotel_Sanur_Bali-Sanur_Denpasar_Bali.html
香蕉假日酒店,712 則評論,"超值：第 73，共 1,013 名 - 印尼",https://www.tripadvisor.com.tw/Hotel_Review-g297704-d1307680-Reviews-Banana_Inn_Hotel_Spa-Bandung_West_Java_Java.html
瑪麗奧勃洛日惹飯店,625 則評論,"超值：第 74，共 1,013 名 - 印尼",https://www.tripadvisor.com.tw/Hotel_Review-g294230-d5256525-Reviews-Grand_Zuri_Malioboro_Yogyakarta-Yogyakarta_Java.html
巴厘慕提亞拉別墅度假村,911 則評論,"超值：第 75，共 1,013 名 - 印尼",https://www.tripadvisor.com.tw/Hotel_Review-g469404-d601734-Reviews-Mutiara_Bali_Boutique_Resort_Villas-Seminyak_Kuta_District_Bali.html
Grands I Hotel,455 則評論,"超值：第 76，共 1,013 名 - 印尼",https://www.tripadvisor.com.tw/Hotel_Review-g297717-d1465056-Reviews-Grands_I_Hotel-Batam_Riau_Archipelago_Riau_Islands_Province.html
馬朗薩提卡私人酒店,475 則評論,"超值：第 77，共 1,013 名 - 印尼",https://www.tripadvisor.com.tw/Hotel_Review-g297710-d634509-Reviews-Hotel_Santika_Premiere_Malang-Malang_East_Java_Java.html
Mercure Serpong Alam Sutera,560 則評論,"超值：第 78，共 1,013 名 - 印尼",https://www.tripadvisor.com.tw/Hotel_Review-g1493703-d4432913-Reviews-Mercure_Serpong_Alam_Sutera-Tangerang_Banten_Province_Java.html
雅加達沙璜美居飯店,615 則評論,"超值：第 79，共 1,013 名 - 印尼",https://www.tripadvisor.com.tw/Hotel_Review-g294229-d1205467-Reviews-Mercure_Jakarta_Sabang-Jakarta_Java.html
阿塔尼亞酒店,773 則評論,"超值：第 80，共 1,013 名 - 印尼",https://www.tripadvisor.com.tw/Hotel_Review-g297697-d3535072-Reviews-Atanaya_Hotel-Kuta_Kuta_District_Bali.html
西尤姆布勒特班當哈里斯飯店及會議中心,603 則評論,"超值：第 81，共 1,013 名 - 印尼",https://www.tripadvisor.com.tw/Hotel_Review-g297704-d7396496-Reviews-HARRIS_Hotel_Convention_Ciumbuleuit-Bandung_West_Java_Java.html
布瓦納烏布酒店,348 則評論,"超值：第 82，共 1,013 名 - 印尼",https://www.tripadvisor.com.tw/Hotel_Review-g297701-d3377999-Reviews-Bhuwana_Ubud_Hotel-Ubud_Bali.html
吉利特拉旺安娜塔亞酒店,169 則評論,"超值：第 83，共 1,013 名 - 印尼",https://www.tripadvisor.com.tw/Hotel_Review-g664666-d9730656-Reviews-Natya_Hotel_Gili_Trawangan-Gili_Trawangan_Gili_Islands_Lombok_West_Nusa_Tenggara.html
庫瑪拉潘泰酒店,832 則評論,"超值：第 84，共 1,013 名 - 印尼",https://www.tripadvisor.com.tw/Hotel_Review-g297697-d1379777-Reviews-Hotel_Kumala_Pantai-Kuta_Kuta_District_Bali.html
Hotel Novotel Lampung,548 則評論,"超值：第 85，共 1,013 名 - 印尼",https://www.tripadvisor.com.tw/Hotel_Review-g297722-d1676375-Reviews-Hotel_Novotel_Lampung-Bandar_Lampung_Lampung_Sumatra.html
杜達花園酒店,263 則評論,"超值：第 86，共 1,013 名 - 印尼",https://www.tripadvisor.com.tw/Hotel_Review-g294230-d622756-Reviews-Duta_Garden_Hotel-Yogyakarta_Java.html
雷根太陽Spa酒店,583 則評論,"超值：第 87，共 1,013 名 - 印尼",https://www.tripadvisor.com.tw/Hotel_Review-g608487-d5962607-Reviews-Sun_Island_Hotel_Spa-Legian_Kuta_District_Bali.html
龍目島金宮酒店,200 則評論,"超值：第 88，共 1,013 名 - 印尼",https://www.tripadvisor.com.tw/Hotel_Review-g297734-d7003095-Reviews-Golden_Palace_Hotel_Lombok-Mataram_Lombok_West_Nusa_Tenggara.html
峇里島水明漾平酒店,500 則評論,"超值：第 89，共 1,013 名 - 印尼",https://www.tripadvisor.com.tw/Hotel_Review-g469404-d3683062-Reviews-PING_Hotel_Seminyak_Bali-Seminyak_Kuta_District_Bali.html
阿比巴厘島假日及別墅酒店,406 則評論,"超值：第 90，共 1,013 名 - 印尼",https://www.tripadvisor.com.tw/Hotel_Review-g297696-d1736733-Reviews-Abi_Bali_Resort_Villa-Jimbaran_Bali.html
阿迪阿斯裏海灘小屋,807 則評論,"超值：第 91，共 1,013 名 - 印尼",https://www.tripadvisor.com.tw/Hotel_Review-g608493-d1101456-Reviews-Adi_Assri_Beach_Resort_Spa_Pemuteran-Pemuteran_Gerokgak_Bali.html
